"","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score","science.score"
"80","female","group E","master's degree","standard","none",84.8,84.5783132530121,85.7777777777778,82.6928990574519
"81","female","group B","associate's degree","standard","none",78.8,75.4216867469879,77.7777777777778,100
"82","male","group B","high school","free/reduced","none",79.6,73.4939759036145,75.5555555555556,68.0227256912236
"83","male","group A","some college","free/reduced","completed",80,74.4578313253012,79.5555555555556,74.5811557537576
"84","male","group E","associate's degree","standard","none",88.8,82.6506024096386,83.5555555555556,83.3529605523987
"85","male","group D","high school","free/reduced","none",76.8,70.6024096385542,70.6666666666667,74.2797752007246
"86","female","group C","some college","standard","none",89.2,90.3614457831325,92,65.284797147472
"87","female","group C","some college","free/reduced","none",90.4,91.8072289156626,94.6666666666667,70.069019813854
"88","female","group D","associate's degree","standard","none",88.4,86.0240963855422,88.4444444444444,79.3618068926896
"89","female","group A","some college","standard","none",83.2,85.5421686746988,85.3333333333333,79.2310262345504
"90","female","group D","some high school","standard","none",89.2,93.2530120481928,92,63.6146883225986
"91","female","group C","bachelor's degree","standard","none",86,86.5060240963855,88.4444444444444,68.6425409165525
"92","male","group C","high school","free/reduced","none",70.8,68.1927710843374,71.5555555555556,63.4283105827108
"93","male","group C","high school","standard","none",88.4,89.8795180722892,87.1111111111111,95.0136028388086
"94","male","group C","associate's degree","free/reduced","completed",77.2,73.4939759036145,77.7777777777778,79.1937964896431
"95","female","group B","some college","standard","none",91.6,93.2530120481928,96.4444444444444,55.9132490614896
"96","male","group C","associate's degree","free/reduced","completed",91.2,90.8433734939759,92,87.3273929156696
"97","male","group B","some high school","standard","completed",86,83.6144578313253,83.1111111111111,82.4787941948321
"98","female","group E","some college","standard","completed",85.2,86.5060240963855,86.6666666666667,68.8616239314768
"99","female","group D","some college","free/reduced","none",83.2,84.0963855421687,83.1111111111111,82.9095736829165
"100","female","group D","bachelor's degree","standard","none",86,84.0963855421687,83.1111111111111,88.7896284515318
"101","male","group B","some college","standard","none",91.6,84.0963855421687,85.3333333333333,83.7884888492999
"102","male","group D","bachelor's degree","standard","completed",87.2,87.4698795180723,88.4444444444444,91.3038049425294
"103","female","group D","associate's degree","standard","none",94,95.6626506024096,95.1111111111111,73.3184666358551
"104","male","group B","high school","standard","completed",84,73.0120481927711,76.4444444444444,83.2089568529448
"105","male","group C","some college","standard","completed",99.2,93.2530120481928,95.5555555555556,82.8481140722874
"106","female","group C","some college","standard","none",83.2,84.0963855421687,87.5555555555556,74.4862713904688
"107","female","group D","master's degree","standard","none",94.8,100,100,55.3550022283991
"108","male","group E","associate's degree","standard","completed",86.4,82.1686746987952,84,83.8536663310493
"109","female","group B","associate's degree","free/reduced","none",80.8,88.433734939759,86.6666666666667,72.7676981522324
"110","female","group B","some high school","standard","none",88,82.6506024096386,87.5555555555556,83.5104436446842
"111","female","group D","associate's degree","free/reduced","completed",90.8,94.6987951807229,99.1111111111111,70.4071135675682
"112","male","group C","high school","standard","none",84.8,78.3132530120482,77.3333333333333,74.046788327956
"113","male","group A","associate's degree","standard","none",81.6,77.3493975903614,76.4444444444444,70.9510967517968
"114","female","group D","some college","standard","none",80.4,79.7590361445783,79.5555555555556,92.9763649740676
"115","female","group E","bachelor's degree","standard","completed",99.6,100,100,63.0807228193996
"116","male","group C","high school","standard","none",93.6,88.9156626506024,88.4444444444444,93.544247481868
"117","female","group B","bachelor's degree","free/reduced","none",90,92.7710843373494,92,63.7199947193093
"118","female","group D","bachelor's degree","standard","none",91.2,91.3253012048193,90.6666666666667,68.1021366433658
"119","female","group D","some high school","standard","none",80.4,82.1686746987952,82.6666666666667,79.2032867179682
"120","female","group C","some college","standard","none",82,85.0602409638554,84.4444444444444,79.4414935253727
"121","female","group C","bachelor's degree","standard","completed",91.6,96.144578313253,95.1111111111111,66.5430185908962
"122","male","group B","associate's degree","standard","completed",96.4,94.6987951807229,96.4444444444444,95.4979565797679
"123","female","group C","some college","standard","completed",95.2,96.6265060240964,96.8888888888889,62.7425714382974
"124","male","group D","high school","free/reduced","none",85.2,79.2771084337349,80.4444444444444,78.636110154153
"125","male","group E","some college","standard","none",93.2,90.3614457831325,88,87.148885151673
"126","female","group B","high school","standard","none",94.8,97.5903614457831,93.7777777777778,55.7645419055838
"127","male","group B","some high school","standard","none",88.8,84.5783132530121,85.3333333333333,89.9074348290549
"128","male","group D","some college","standard","completed",86,88.9156626506024,88.4444444444444,95.0698941680261
"129","male","group D","master's degree","standard","none",92.8,91.3253012048193,88.4444444444444,89.5613965236388
"130","female","group A","bachelor's degree","standard","none",80.4,75.4216867469879,78.2222222222222,100
"131","male","group D","master's degree","standard","none",95.6,92.289156626506,92,93.6170736031105
"132","male","group C","some high school","free/reduced","completed",81.2,69.6385542168675,73.3333333333333,68.6089186262289
"133","male","group E","some college","free/reduced","completed",94.8,87.4698795180723,86.6666666666667,88.30089370781
"134","female","group C","some college","standard","completed",90,90.8433734939759,92.8888888888889,67.6749124231148
"135","male","group D","bachelor's degree","free/reduced","completed",89.6,89.8795180722892,88.8888888888889,84.7119439531364
"136","male","group C","bachelor's degree","standard","none",83.2,78.3132530120482,76.8888888888889,77.8447499087711
"137","male","group B","some high school","standard","completed",80.4,77.8313253012048,73.7777777777778,80.6886889639493
"138","male","group E","high school","standard","none",88,78.3132530120482,80.4444444444444,78.906683767523
"139","female","group C","associate's degree","standard","none",83.6,83.6144578313253,85.3333333333333,87.3897104900132
"140","male","group D","some college","standard","completed",88.4,81.2048192771084,86.2222222222222,81.8163209800794
"141","female","group D","some high school","standard","none",90.4,86.5060240963855,87.1111111111111,62.576925894302
"142","female","group C","some college","free/reduced","none",83.6,81.6867469879518,84,79.0812308003975
"143","female","group E","some college","free/reduced","completed",76.8,78.3132530120482,79.5555555555556,97.5444032696975
"144","male","group A","high school","standard","none",82.8,72.5301204819277,76.4444444444444,66.5564583808962
"145","male","group D","some college","standard","none",95.2,86.9879518072289,90.2222222222222,86.3750523438243
"146","female","group C","some college","free/reduced","none",68.8,70.6024096385542,70.2222222222222,98.6453409217555
"147","male","group B","some high school","standard","none",95.2,92.289156626506,88.8888888888889,92.8362057233632
"148","male","group C","associate's degree","free/reduced","none",89.2,84.5783132530121,84.8888888888889,85.8293468094644
"149","female","group D","bachelor's degree","standard","completed",87.2,87.9518072289157,91.5555555555556,76.8194143153613
"150","male","group E","associate's degree","free/reduced","completed",100,100,96.8888888888889,100
"151","male","group A","some high school","standard","completed",84.8,84.0963855421687,86.2222222222222,85.1523442140712
"152","male","group A","bachelor's degree","standard","none",90.8,84.0963855421687,85.7777777777778,83.7365657911422
"153","female","group B","associate's degree","standard","completed",83.6,85.5421686746988,84.8888888888889,74.6175898691978
"154","male","group D","bachelor's degree","standard","none",81.6,75.4216867469879,76.4444444444444,77.7495802804368
"155","male","group D","some high school","standard","none",84.8,84.0963855421687,82.6666666666667,81.5966821227068
"156","female","group C","some college","standard","completed",88,94.6987951807229,94.6666666666667,60.033347695442
"157","female","group E","high school","free/reduced","completed",86.4,87.4698795180723,90.2222222222222,77.0869108596735
"158","male","group B","some college","free/reduced","none",84,80.7228915662651,82.2222222222222,83.3548597388909
"159","female","group B","associate's degree","standard","completed",84.4,93.2530120481928,94.2222222222222,58.5952708394817
"160","male","group D","associate's degree","free/reduced","none",86.4,81.6867469879518,84,81.5845606435911
"161","male","group B","associate's degree","free/reduced","completed",92.8,89.3975903614458,88.4444444444444,90.2606474022943
"162","female","group E","some college","free/reduced","completed",90,94.2168674698795,93.3333333333333,61.9758048057409
"163","male","group B","master's degree","free/reduced","none",79.6,77.3493975903614,78.6666666666667,76.6890967779768
"164","male","group C","high school","standard","none",80.8,77.3493975903614,77.3333333333333,83.6937233279927
"165","female","group E","master's degree","standard","none",92.4,96.144578313253,96,61.8559541486757
"166","female","group C","bachelor's degree","standard","completed",98.4,100,100,61.3023717630625
"167","male","group C","high school","free/reduced","completed",81.2,76.3855421686747,78.2222222222222,79.2607282088648
"168","female","group B","master's degree","free/reduced","completed",83.2,88.433734939759,90.2222222222222,79.3479410702285
"169","female","group B","high school","standard","completed",87.2,91.8072289156626,90.2222222222222,72.1438475414821
"170","female","group C","some college","free/reduced","completed",86.8,87.9518072289157,86.6666666666667,73.6207280228506
"171","male","group A","high school","standard","completed",88.8,86.9879518072289,88.4444444444444,89.9770532388119
"172","male","group E","some high school","standard","none",97.6,94.2168674698795,90.2222222222222,89.1961680218216
"173","female","group D","some college","standard","none",91.6,93.2530120481928,91.5555555555556,66.492092652607
"174","female","group C","associate's degree","standard","none",85.2,84.0963855421687,86.6666666666667,85.0734546645117
"175","female","group C","bachelor's degree","free/reduced","completed",77.2,76.3855421686747,79.5555555555556,92.1264010350049
"176","female","group C","master's degree","standard","completed",92.4,95.6626506024096,94.2222222222222,64.4403035666004
"177","female","group B","high school","free/reduced","completed",78.4,77.8313253012048,81.3333333333333,96.8492197915443
"178","female","group C","associate's degree","standard","completed",88.4,88.9156626506024,89.7777777777778,68.1257065589267
"179","female","group B","master's degree","free/reduced","completed",80.8,85.5421686746988,83.1111111111111,75.1480348249712
"180","female","group D","some high school","standard","completed",98.8,100,100,51.2684912055331
"181","male","group C","master's degree","free/reduced","completed",84.8,84.5783132530121,88.8888888888889,92.427821114963
"182","female","group C","some college","free/reduced","none",78.4,82.6506024096386,84.8888888888889,89.3804444226028
"183","female","group E","high school","standard","none",80,75.9036144578313,76.4444444444444,94.1049028939028
"184","female","group D","associate's degree","standard","none",86,85.0602409638554,86.6666666666667,74.2621213968756
"185","male","group C","some high school","free/reduced","completed",78,76.8674698795181,77.3333333333333,76.0778227018224
"186","male","group C","associate's degree","free/reduced","completed",86,84.0963855421687,84.4444444444444,79.9419541718762
"187","male","group E","high school","standard","none",92,88.433734939759,84.4444444444444,92.4548854836917
"188","male","group D","some high school","standard","completed",84.8,83.6144578313253,85.7777777777778,81.9558053619885
"189","male","group B","some high school","free/reduced","none",79.2,76.8674698795181,75.5555555555556,72.4568767486979
"190","female","group C","bachelor's degree","standard","none",90.8,94.2168674698795,94.2222222222222,66.4445089928374
"191","female","group E","associate's degree","standard","none",86.4,83.1325301204819,86.2222222222222,89.0538908836356
"192","male","group D","some college","standard","completed",90.4,91.8072289156626,90.6666666666667,94.6051684451037
"193","female","group B","some high school","standard","none",84.8,82.6506024096386,84.8888888888889,93.3633701946995
"194","male","group D","some college","standard","completed",90.8,81.6867469879518,83.1111111111111,80.5319147999472
"195","female","group C","master's degree","standard","completed",87.6,92.289156626506,93.3333333333333,65.6749752474837
"196","male","group D","associate's degree","standard","none",84.4,78.3132530120482,78.6666666666667,78.030219393691
"197","male","group C","some high school","free/reduced","completed",83.6,85.0602409638554,84.4444444444444,77.505767872799
"198","male","group E","high school","free/reduced","none",82,78.7951807228916,78.2222222222222,75.6432904042726
"199","female","group B","some college","free/reduced","none",78,77.3493975903614,80,86.6695025963825
"200","female","group B","bachelor's degree","free/reduced","none",91.2,89.8795180722892,89.3333333333333,65.9619167491345
"201","female","group C","associate's degree","standard","completed",86.8,92.289156626506,93.7777777777778,72.7561157051612
"202","female","group D","some college","free/reduced","none",86,90.8433734939759,89.7777777777778,79.6879452039699
"203","male","group C","associate's degree","standard","none",87.6,88.9156626506024,86.2222222222222,83.9981511022469
"204","female","group B","associate's degree","standard","none",82.8,85.0602409638554,85.7777777777778,87.8567929368687
"205","male","group C","some college","standard","none",83.6,71.566265060241,74.2222222222222,73.4271695565237
"206","male","group D","some high school","standard","completed",89.6,86.0240963855422,90.2222222222222,79.0669026224739
"207","male","group E","bachelor's degree","standard","none",92.8,81.6867469879518,83.1111111111111,78.1701615910142
"208","male","group E","high school","standard","completed",92.4,90.3614457831325,89.3333333333333,91.5407750234633
"209","female","group B","some college","free/reduced","none",89.6,90.8433734939759,89.3333333333333,72.2054222685869
"210","female","group B","some college","free/reduced","none",83.2,81.2048192771084,84.8888888888889,85.9672277955715
"211","male","group D","some high school","free/reduced","completed",92,89.8795180722892,90.6666666666667,88.5297801872583
"212","male","group C","some college","free/reduced","none",74,65.3012048192771,67.5555555555556,62.4933288948495
"213","female","group C","high school","free/reduced","none",76.8,81.6867469879518,82.2222222222222,87.9717638538821
"214","male","group C","associate's degree","free/reduced","completed",84,76.3855421686747,80.4444444444444,77.0014138327833
"215","male","group E","high school","standard","completed",94.8,95.6626506024096,91.5555555555556,91.3798067251982
"216","male","group B","some high school","standard","completed",93.6,91.8072289156626,88.8888888888889,86.2104903210115
"217","female","group E","associate's degree","free/reduced","completed",93.2,93.2530120481928,94.6666666666667,61.8499198527067
"218","female","group C","high school","free/reduced","none",73.6,72.0481927710843,72.8888888888889,100
"219","male","group B","high school","free/reduced","none",86.4,88.9156626506024,86.6666666666667,94.4153311959484
"220","male","group B","some high school","standard","completed",84.4,78.7951807228916,80.4444444444444,82.3705936525323
"221","female","group D","high school","standard","completed",82.4,84.5783132530121,88.4444444444444,77.9007003137202
"222","male","group B","associate's degree","standard","none",94.8,92.7710843373494,88,96.2964621307385
"223","female","group C","some high school","free/reduced","none",82,83.1325301204819,83.1111111111111,83.1033830195004
"224","male","group D","some high school","standard","none",94.4,90.3614457831325,88.8888888888889,84.6541097115649
"225","female","group B","associate's degree","standard","completed",80.8,83.6144578313253,88,82.6516271310068
"226","female","group E","master's degree","free/reduced","none",78,78.7951807228916,79.5555555555556,93.2557101808244
"227","female","group C","some college","standard","none",88.8,86.5060240963855,87.1111111111111,86.6526164438824
"228","male","group D","high school","standard","none",82.8,75.9036144578313,79.5555555555556,79.4815849977321
"229","male","group A","some high school","free/reduced","none",87.2,86.5060240963855,84,85.5441047108148
"230","female","group C","some college","standard","completed",95.2,97.5903614457831,97.3333333333333,65.1269605821543
"231","male","group D","some college","standard","none",90.4,82.6506024096386,84.8888888888889,75.3196217465587
"232","male","group C","associate's degree","standard","none",78.4,72.5301204819277,74.2222222222222,73.8781500344812
"233","female","group B","bachelor's degree","standard","none",86.8,93.2530120481928,92.4444444444444,64.8280569331657
"234","male","group E","some high school","standard","none",96.8,93.7349397590361,90.2222222222222,96.6581481062402
"235","male","group C","bachelor's degree","standard","completed",93.2,91.3253012048193,92.8888888888889,90.3279496360979
"236","male","group D","associate's degree","standard","none",92,87.9518072289157,89.7777777777778,83.7262280793139
"237","male","group D","bachelor's degree","free/reduced","none",85.2,83.6144578313253,85.3333333333333,80.3176150522557
"238","female","group D","some high school","standard","completed",85.6,80.7228915662651,88.4444444444444,86.2442726229918
"239","male","group B","some college","standard","none",81.6,76.8674698795181,78.2222222222222,76.3114492981893
"240","male","group C","associate's degree","standard","none",93.6,90.3614457831325,91.1111111111111,90.6301410287989
"241","male","group D","high school","free/reduced","completed",89.2,84.5783132530121,84.8888888888889,85.2784552835421
"242","female","group E","bachelor's degree","standard","none",92,91.8072289156626,92.4444444444444,68.5852173023275
"243","female","group D","high school","standard","none",82.4,76.8674698795181,80,94.2143275075309
"244","male","group E","some college","standard","none",83.6,76.3855421686747,74.6666666666667,75.2854494093932
"245","male","group D","some high school","standard","none",90,87.4698795180723,86.2222222222222,88.3172812487695
"246","male","group C","associate's degree","standard","none",94,88.433734939759,87.1111111111111,87.1670522422141
"247","male","group E","associate's degree","standard","none",95.6,88.433734939759,88.4444444444444,87.258553596637
"248","female","group B","high school","standard","completed",83.2,85.5421686746988,85.7777777777778,79.914256962346
"249","female","group B","high school","standard","none",86,82.6506024096386,83.1111111111111,79.3501865585827
"250","male","group C","high school","standard","none",87.2,80.7228915662651,79.1111111111111,77.2852982233296
"251","male","group A","some high school","standard","completed",78.8,75.4216867469879,77.3333333333333,79.873748504981
"252","female","group D","some college","free/reduced","none",88.4,91.8072289156626,92.4444444444444,62.3202765717187
"253","female","group B","some high school","standard","completed",84,85.5421686746988,86.6666666666667,90.5502604275004
"254","male","group D","master's degree","standard","none",92,90.3614457831325,87.5555555555556,92.3962136851614
"255","male","group D","high school","standard","none",81.6,76.8674698795181,78.6666666666667,71.5367817708349
"256","female","group E","some college","standard","none",84.8,86.9879518072289,86.6666666666667,77.9481752417318
"257","female","group C","associate's degree","free/reduced","none",85.6,86.9879518072289,85.7777777777778,77.4835226282793
"258","male","group C","associate's degree","standard","completed",91.2,88.9156626506024,89.7777777777778,90.8972554258701
"259","female","group B","some college","standard","none",88,87.9518072289157,90.2222222222222,71.7814791036177
"260","female","group C","master's degree","free/reduced","completed",86,90.8433734939759,91.5555555555556,71.8433052150204
"261","female","group C","some high school","free/reduced","completed",85.6,89.8795180722892,89.7777777777778,81.1663586467296
"262","male","group C","some college","standard","completed",91.6,89.8795180722892,90.2222222222222,94.8934380980056
"263","female","group C","some high school","free/reduced","none",77.6,75.9036144578313,78.2222222222222,95.2563269485065
"264","female","group E","high school","standard","none",99.6,96.6265060240964,95.5555555555556,60.6872553694656
"265","male","group D","high school","standard","none",90.4,86.9879518072289,85.7777777777778,88.6708770722848
"266","male","group D","some high school","free/reduced","none",83.6,72.0481927710843,73.7777777777778,77.1017904621406
"267","female","group C","bachelor's degree","standard","none",85.2,87.9518072289157,91.5555555555556,74.4975001883194
"268","female","group D","high school","standard","none",87.6,86.5060240963855,89.7777777777778,81.1908120525151
"269","female","group D","associate's degree","standard","completed",95.2,96.144578313253,97.7777777777778,64.8414519863089
"270","female","group E","some college","free/reduced","none",88.4,88.433734939759,86.6666666666667,72.5003992602289
"271","male","group C","bachelor's degree","standard","none",87.6,82.1686746987952,82.6666666666667,81.6873949198056
"272","male","group C","some college","standard","none",83.2,75.4216867469879,74.2222222222222,79.7836062486297
"273","female","group D","associate's degree","free/reduced","none",78.8,77.3493975903614,81.3333333333333,93.7716088133596
"274","female","group D","some college","standard","none",86,85.5421686746988,87.1111111111111,78.6550571638493
"275","male","group B","some college","standard","completed",95.2,92.7710843373494,89.3333333333333,85.9315755053115
"276","male","group C","bachelor's degree","standard","none",93.2,89.3975903614458,88,88.4415430953965
"277","female","group C","some high school","standard","completed",94,96.144578313253,96.8888888888889,64.2692477666146
"278","female","group E","high school","standard","completed",83.6,82.1686746987952,88.8888888888889,76.6032631094178
"279","female","group C","some high school","free/reduced","none",86,93.2530120481928,91.1111111111111,63.6513988401167
"280","male","group B","bachelor's degree","free/reduced","none",89.2,78.7951807228916,80.8888888888889,82.2995721723502
"281","male","group D","high school","standard","none",81.2,76.8674698795181,74.2222222222222,76.8892083469811
"282","male","group D","high school","standard","none",78,74.9397590361446,76,76.2425573035938
"283","female","group D","bachelor's degree","free/reduced","none",89.2,89.8795180722892,92.8888888888889,75.3419107745987
"284","female","group D","some college","free/reduced","completed",88,89.3975903614458,90.2222222222222,68.6832887676221
"285","female","group B","some high school","standard","none",74.8,73.9759036144578,76,98.6351607391424
"286","male","group B","associate's degree","standard","completed",92.4,91.3253012048193,92,85.347554334308
"287","male","group E","associate's degree","standard","completed",98.8,91.3253012048193,94.6666666666667,95.5220385832006
"288","female","group B","some high school","standard","none",86.8,94.6987951807229,92,60.2951081949344
"289","male","group B","bachelor's degree","free/reduced","none",95.2,87.9518072289157,89.3333333333333,89.2107715373276
"290","male","group E","some high school","standard","completed",90.8,88.433734939759,89.7777777777778,85.1088143342339
"291","male","group C","associate's degree","standard","none",90.4,85.5421686746988,85.7777777777778,91.512023119656
"292","male","group D","some high school","standard","none",94.4,86.9879518072289,86.6666666666667,89.4853316534432
"293","male","group C","some high school","standard","completed",85.2,80.7228915662651,80.8888888888889,87.5893170766502
"294","female","group E","bachelor's degree","standard","none",86,86.9879518072289,88.8888888888889,79.9255920899951
"295","male","group D","high school","free/reduced","completed",91.2,88.9156626506024,91.1111111111111,97.7375451940095
"296","male","group B","associate's degree","free/reduced","none",86.8,81.6867469879518,82.2222222222222,85.5795438131904
"297","male","group A","some high school","standard","completed",78.4,71.566265060241,74.6666666666667,68.2983348483201
"298","male","group E","associate's degree","standard","completed",88.4,87.4698795180723,85.7777777777778,88.6001716838807
"299","male","group C","high school","free/reduced","completed",76,73.9759036144578,77.7777777777778,72.0087794929419
"300","male","group D","associate's degree","free/reduced","none",96,93.7349397590361,88.8888888888889,99.931318364782
"301","male","group A","some college","free/reduced","completed",92.4,89.3975903614458,91.5555555555556,88.1913047104469
"302","male","group D","some high school","free/reduced","none",82.4,77.8313253012048,78.6666666666667,78.6168442506878
"303","female","group C","associate's degree","standard","completed",86.8,92.289156626506,91.5555555555556,68.5291566748288
"304","male","group B","associate's degree","standard","none",92,88.433734939759,84,92.8124801918331
"305","female","group C","associate's degree","standard","completed",89.6,87.9518072289157,92.4444444444444,73.866894487737
